City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
636,Porto Novo,BJ,85.82,overcast clouds,6.5,2.6,Tour Eiffel Hotel Benin
640,Akyab,MM,80.82,scattered clouds,20.15,92.9,Hotel Memory
641,Basco,PH,75.31,overcast clouds,20.45,121.97,Nathaniel's Lodge
642,Sambava,MG,78.1,moderate rain,-14.27,50.17,Melrose
644,Nabire,ID,75.78,overcast clouds,-3.37,135.48,Hotel Nusantara I
652,Olinda,BR,83.93,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
654,Ambovombe,MG,77.61,overcast clouds,-25.17,46.08,RELAHARA
656,Bubaque,GW,78.57,few clouds,11.28,-15.83,"Casa Dora, Bubaque"
659,Celestun,MX,75.85,broken clouds,20.87,-90.4,Posada Lilia
663,Multai,IN,88.9,clear sky,21.77,78.25,Satya sai homeopathic clinic
664,Pokhara,NP,75.81,overcast clouds,28.23,83.98,OYO 170 Hotel View Point
670,Antsohihy,MG,79.38,light rain,-14.88,47.99,Hotel de Ville
672,Campo Grande,BR,85.55,few clouds,-20.44,-54.65,OYO Athenas Apart Hotel
677,Kulhudhuffushi,MV,84.56,scattered clouds,6.62,73.07,Haajy Guest House 1
678,Astorga,BR,79.03,scattered clouds,-23.23,-51.67,Rancho Jads
683,Mayumba,GA,81.34,light rain,-3.43,10.66,LIKWALE LODGE
