City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Dumas,US,35.87,-101.97,45.61,33,0,9.22,clear sky
321,Punta Alta,AR,-38.88,-62.07,67.32,67,6,6.11,clear sky
322,Mogadishu,SO,2.04,45.34,85.87,79,20,13.8,few clouds
323,Okmulgee,US,35.62,-95.96,48.31,40,0,23.02,clear sky
324,Dakar,SN,14.69,-17.44,104.88,65,0,18.41,clear sky
325,Coihaique,CL,-45.58,-72.07,46.35,87,75,0.0,fog
326,Vinh,VN,18.67,105.67,68.86,85,3,3.33,clear sky
327,Marilandia,BR,-19.41,-40.54,87.33,55,67,1.43,broken clouds
328,Portobelo,PA,9.55,-79.65,87.96,80,100,6.04,overcast clouds
329,Lerwick,GB,60.15,-1.15,41.0,69,81,27.58,broken clouds
330,Otradnoye,RU,59.78,30.82,46.56,94,100,7.87,overcast clouds
331,Arman,RU,59.70,150.17,13.69,95,97,6.31,overcast clouds
332,Tarbagatay,RU,51.48,107.36,36.93,73,85,3.49,overcast clouds
333,Vanavara,RU,60.34,102.28,14.86,96,97,2.3,overcast clouds
334,Svecha,RU,58.28,47.52,39.6,100,99,7.96,overcast clouds
335,Lososina,RU,49.00,140.31,30.18,91,100,4.52,overcast clouds
336,Jieshi,CN,22.81,115.83,68.9,73,0,15.9,clear sky
337,Bathsheba,BB,13.22,-59.52,84.81,65,40,19.57,scattered clouds
338,Lagunas,PE,-5.23,-75.68,88.03,58,79,0.2,broken clouds
339,Lokoja,NG,7.80,6.74,103.96,25,72,4.12,broken clouds
340,Egvekinot,RU,66.32,-179.17,-18.99,97,88,5.64,overcast clouds
341,Borujerd,IR,33.90,48.75,70.03,26,100,18.41,overcast clouds
342,Guerrero Negro,MX,27.98,-114.06,70.23,41,60,3.42,broken clouds
343,Jepara,ID,-5.17,105.70,78.48,81,100,9.46,overcast clouds
344,Klaksvik,FO,62.23,-6.59,36.52,72,97,24.25,overcast clouds
345,Tura,IN,25.52,90.22,75.61,69,0,6.53,clear sky
346,Cockburn Town,TC,21.46,-71.14,78.51,78,47,19.44,scattered clouds
347,Sanchor,IN,24.76,71.77,88.75,22,0,10.96,clear sky
348,Vazhiny,RU,60.96,34.02,46.89,86,100,12.12,overcast clouds
349,Kruisfontein,ZA,-34.00,24.73,60.89,73,100,11.27,light rain
350,Sola,VU,-13.88,167.55,81.9,76,100,7.45,overcast clouds
351,Korla,CN,41.76,86.15,72.52,13,100,3.11,overcast clouds
352,Trinidad,BO,-14.83,-64.90,85.98,70,75,6.91,broken clouds
353,Lubango,AO,-14.92,13.49,80.46,36,75,10.36,broken clouds
354,Sampit,ID,-2.53,112.95,73.81,98,100,2.95,overcast clouds
355,Mumbwa,ZM,-14.98,27.06,71.26,79,76,6.6,broken clouds
356,Timbo,BR,-26.82,-49.27,75.58,91,100,0.74,light rain
357,Meadow Lake,US,34.80,-106.54,49.6,24,0,2.21,clear sky
358,Rozmital Pod Tremsinem,CZ,49.60,13.86,45.21,98,100,2.89,light rain
359,America Dourada,BR,-11.46,-41.44,90.5,19,11,7.72,few clouds
360,Grand Gaube,MU,-20.01,57.66,78.39,86,54,5.99,broken clouds
361,Samborondon,EC,-1.95,-79.73,78.8,91,98,1.16,overcast clouds
362,Luwingu,ZM,-10.26,29.93,66.9,91,94,3.78,moderate rain
